IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta
7,5/16/2024,1,1,Televisor LED,2,900,1800
7,5/17/2024,2,2,Lavadora de carga frontal,1,600,600
7,5/18/2024,3,3,Refrigerador de acero inoxidable,3,850,2550
7,5/19/2024,4,4,Cocina eléctrica,2,750,1500
7,5/20/2024,5,5,Aspiradora sin bolsa,1,200,200
7,5/21/2024,1,1,Televisor OLED,4,1500,6000
7,5/22/2024,2,2,Lavadora de carga superior,3,700,2100
7,5/23/2024,3,3,Refrigerador de doble puerta,1,1200,1200
7,5/24/2024,4,4,Cocina de gas,3,800,2400
7,5/25/2024,5,5,Robot aspirador inteligente,2,400,800
